Added,Venue / Date,Dataset,Paper URL,Title,Modality,Resolution,Organ,Volumes,Size,Dataset URL
08/25/26,Nature Biomedical Engineering (2026),TRICARE,https://www.nature.com/articles/s41551-026-01760-1,Deep-learning triage of three-dimensional pathology datasets for comprehensive and efficient pathologist assessments,Open-Top Light-Sheet Microscopy (OTLS),"Prostate: ~1 µm lateral; ~3.5–4 µm axial; Esophagus: ~0.6 µm lateral; ~2.75–3 µm axial",Prostate cancer biopsies and endoscopic biopsies of Barrett’s esophagus,"Esophageal: 29 patients (125 specimens); Prostate: 59 patients (59 specimens)",191.3GB,https://zenodo.org/records/20052262
08/25/26,Cell (2026),ULTRA,https://www.cell.com/cell/abstract/S0092-8674(26)00824-X,Ultrarapid deep 3D histology enables intraoperative mapping of glioma infiltration,Volumetric stimulated Raman scattering (SRS) lipid-channel images using the ULTRA pipeline,"Lateral resolution: 0.414 μm/pixel; axial resolution: 1 μm","Three major glioma subtypes: oligodendroglioma; astrocytoma; and glioblastoma","3 volumes with over a depth of 1 mm",9.4GB,https://zenodo.org/records/21132396
08/25/26,Cell Press Blue (2026),"CODA matrices 1 / CODA matrices 2",https://www.cell.com/cell-press-blue/fulltext/S3051-3839(26)00006-X,Quantitative 3D histology reveals localized immune remodeling during early pancreatic cancer progression,"CODA-derived 3D tissue and cell matrices from serial H&E histology, with IHC-derived immune-cell information for selected samples",Released matrices: 12 × 12 × 12 µm³/voxel; underlying CODA tissue segmentation generated at 2 µm/pixel,Human pancreas,"48 samples / 48 volumes; two samples additionally have IHC-enhanced matrix versions",99.7 GB,"https://zenodo.org/records/19118547; https://zenodo.org/records/19119949"
08/25/26,eLife (2024),OT-TP-LSM,https://elifesciences.org/articles/92614,Open-top Bessel beam two-photon light sheet microscopy for three-dimensional pathology,Open-top Bessel-beam two-photon light-sheet microscopy,Isotropic 0.9 µm/voxel,"Human skin—basal-cell carcinoma; pancreas—normal, IPMN/premalignant, and cancer; prostate—benign and cancer","7 human tissue volumes: 2 skin BCC, 3 pancreas (normal, IPMN, PDAC), and 2 prostate (benign, adenocarcinoma)",11.10 GB,https://datadryad.org/dataset/doi:10.5061/dryad.pk0p2ngwn
08/25/26,European Journal of Cancer (2023),3D melanoma histology model,https://www.sciencedirect.com/science/article/pii/S0959804923003969?via%3Dihub,A 3-dimensional histology computer model of malignant melanoma and its implications for digital pathology,"Serial H&E histological sections, reconstructed into a 3D volume using TrakEM2/Fiji","Original scans: 0.25 µm/pixel at 40×; alignment images downsampled to 1 µm/pixel; 3 µm section thickness",Human cutaneous malignant melanoma,1 volume (66 serial H&E sections),732.7MB,https://zenodo.org/records/8155124
08/25/26,Bioinformatics (2018),3D histology reconstruction benchmark,https://academic.oup.com/bioinformatics/article/34/17/3013/4978049?login=true,Comparative analysis of tissue reconstruction algorithms for 3D histology,"Serial H&E whole-slide images, tissue masks and manually annotated landmarks","0.46 µm/pixel, scanned at 20×; 5 µm section spacing",Murine prostate and murine liver,"2 volumes: prostate = 260 sections; liver = 47 sections",59.41 GB,http://urn.fi/urn:nbn:fi:csc-kata20170705131652639702
07/15/26,Royal Society Interface (2026),VISTACT,https://royalsocietypublishing.org/rsif/article/23/239/20251186/482117/Histology-guided-3D-virtual-staining-of-microCT,VIrtual histological STAining of micro-Computed Tomography (VISTACT),Synchtron-based phase-contrast microCT and serial H&E and EvG-stained histological sections,Human lung microCT scans: 1.63 μm/voxel ; Mouse lung microCT scan: 0.88 μm/voxel,Human lung tissue from patients with pulmonary hypertension and mice heart-lung tissue,"10 from human tissue (4 patients), and 1 from mice tissue",869GB,https://huggingface.co/datasets/cristinaperez9/VISTACT
07/15/26,Nature Communications (2025),Holotomography,https://www.nature.com/articles/s41467-025-59820-0,Revealing 3D microanatomical structures of unlabeled thick cancer tissues using holotomography and virtual H&E staining,Holotomography and H&E-virtually-stained images,Lateral resolution: 156 nm; Axial resolution: 1.07 μm,Human colon cancer samples,N/A,24.74GB,https://www.scidb.cn/en/detail?dataSetId=a41dec8943814999a6149b7c2c7c82fc
07/15/26,Cancer Research(March 2023),PCa_Bx_3Dpathology,https://aacrjournals.org/cancerres/article/82/2/334/675486/Prostate-Cancer-Risk-Stratification-via?guestAccessKey=,3D pathology of prostate biopsies with biochemical recurrence outcomes: raw H&E-analog datasets and image translation-assisted segmentation in 3D (ITAS3D) datasets,OTLS,0.88 μm/pixel,Human prostate,118 (50 patients),3.8TB,https://www.cancerimagingarchive.net/collection/pca_bx_3dpathology/
07/15/26,MICCAI challenge(2023),ACROBAT,,AutomatiC Registration Of Breast cAncer Tissue (ACROBAT),"H&E and IHC (ER, PGR, HER2, KI67)",Multiple. Validation conducted at 1.25x,Human breast cancer,750 (1 H&E and 1-4 matched routine IHC),n/a,https://acrobat.grand-challenge.org/
